Type,Institute,Academic Program Name,Seat Type,Gender,Opening Rank,Closing Rank
Mains,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Mechanical Engineering (4 Years, Bachelor of Technology)",GEN,Male,20426,34280
Mains,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Mechanical Engineering (4 Years, Bachelor of Technology)",GEN,Female,37419,45828
Mains,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Mechanical Engineering (4 Years, Bachelor of Technology)",EWS,Male,4960,5214
Mains,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Mechanical Engineering (4 Years, Bachelor of Technology)",EWS,Female,7202,7202
Mains,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Mechanical Engineering (4 Years, Bachelor of Technology)",OBC,Male,10021,11590
Mains,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Mechanical Engineering (4 Years, Bachelor of Technology)",OBC,Female,16319,17053
Mains,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Mechanical Engineering (4 Years, Bachelor of Technology)",SC,Male,4422,5203
Mains,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Mechanical Engineering (4 Years, Bachelor of Technology)",SC,Female,7799,8330
Mains,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Mechanical Engineering (4 Years, Bachelor of Technology)",ST,Male,1671,1976
Mains,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Mechanical Engineering (4 Years, Bachelor of Technology)",ST,Female,2918,2918
Mains,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Textile Technology (4 Years, Bachelor of Technology)",GEN,Male,47351,52827
Mains,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Textile Technology (4 Years, Bachelor of Technology)",GEN,Female,60129,63338
Mains,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Textile Technology (4 Years, Bachelor of Technology)",EWS,Male,7729,7834
Mains,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Textile Technology (4 Years, Bachelor of Technology)",EWS,Female,9634,9634
Mains,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Textile Technology (4 Years, Bachelor of Technology)",OBC,Male,15321,15950
Mains,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Textile Technology (4 Years, Bachelor of Technology)",OBC,Female,21723,22346
Mains,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Textile Technology (4 Years, Bachelor of Technology)",SC,Male,7378,8058
Mains,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Textile Technology (4 Years, Bachelor of Technology)",SC,Female,10168,10168
Mains,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Textile Technology (4 Years, Bachelor of Technology)",ST,Male,2862,3197
Mains,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Textile Technology (4 Years, Bachelor of Technology)",ST,Female,4137,4137
Mains,Malaviya National Institute of Technology Jaipur,"Architecture (5 Years, Bachelor of Architecture)",GEN,Male,383,732
Mains,Malaviya National Institute of Technology Jaipur,"Architecture (5 Years, Bachelor of Architecture)",GEN,Female,113,422
Mains,Malaviya National Institute of Technology Jaipur,"Architecture (5 Years, Bachelor of Architecture)",EWS,Male,185,211
Mains,Malaviya National Institute of Technology Jaipur,"Architecture (5 Years, Bachelor of Architecture)",EWS,Female,170,170
Mains,Malaviya National Institute of Technology Jaipur,"Architecture (5 Years, Bachelor of Architecture)",OBC,Male,324,448
Mains,Malaviya National Institute of Technology Jaipur,"Architecture (5 Years, Bachelor of Architecture)",OBC,Female,321,420
Mains,Malaviya National Institute of Technology Jaipur,"Architecture (5 Years, Bachelor of Architecture)",SC,Male,61,247
Mains,Malaviya National Institute of Technology Jaipur,"Architecture (5 Years, Bachelor of Architecture)",SC,Female,211,211
Mains,Malaviya National Institute of Technology Jaipur,"Architecture (5 Years, Bachelor of Architecture)",ST,Male,109,115
Mains,Malaviya National Institute of Technology Jaipur,"Architecture (5 Years, Bachelor of Architecture)",ST,Female,30,30
Mains,Malaviya National Institute of Technology Jaipur,"Chemical Engineering (4 Years, Bachelor of Technology)",GEN,Male,17382,25860
Mains,Malaviya National Institute of Technology Jaipur,"Chemical Engineering (4 Years, Bachelor of Technology)",GEN,Female,14457,31364
Mains,Malaviya National Institute of Technology Jaipur,"Chemical Engineering (4 Years, Bachelor of Technology)",EWS,Male,3683,3864
Mains,Malaviya National Institute of Technology Jaipur,"Chemical Engineering (4 Years, Bachelor of Technology)",EWS,Female,5556,5556
Mains,Malaviya National Institute of Technology Jaipur,"Chemical Engineering (4 Years, Bachelor of Technology)",OBC,Male,8090,9656
Mains,Malaviya National Institute of Technology Jaipur,"Chemical Engineering (4 Years, Bachelor of Technology)",OBC,Female,12118,14212
Mains,Malaviya National Institute of Technology Jaipur,"Chemical Engineering (4 Years, Bachelor of Technology)",SC,Male,3520,4866
Mains,Malaviya National Institute of Technology Jaipur,"Chemical Engineering (4 Years, Bachelor of Technology)",SC,Female,5251,7232
Mains,Malaviya National Institute of Technology Jaipur,"Chemical Engineering (4 Years, Bachelor of Technology)",ST,Male,1743,2276
Mains,Malaviya National Institute of Technology Jaipur,"Chemical Engineering (4 Years, Bachelor of Technology)",ST,Female,2997,2997
Mains,Malaviya National Institute of Technology Jaipur,"Civil Engineering (4 Years, Bachelor of Technology)",GEN,Male,22333,32584
Mains,Malaviya National Institute of Technology Jaipur,"Civil Engineering (4 Years, Bachelor of Technology)",GEN,Female,24478,47829
Mains,Malaviya National Institute of Technology Jaipur,"Civil Engineering (4 Years, Bachelor of Technology)",EWS,Male,5301,5656
Mains,Malaviya National Institute of Technology Jaipur,"Civil Engineering (4 Years, Bachelor of Technology)",EWS,Female,7845,7845
Mains,Malaviya National Institute of Technology Jaipur,"Civil Engineering (4 Years, Bachelor of Technology)",OBC,Male,9099,10922
Mains,Malaviya National Institute of Technology Jaipur,"Civil Engineering (4 Years, Bachelor of Technology)",OBC,Female,14795,16950
Mains,Malaviya National Institute of Technology Jaipur,"Civil Engineering (4 Years, Bachelor of Technology)",SC,Male,1058,4019
Mains,Malaviya National Institute of Technology Jaipur,"Civil Engineering (4 Years, Bachelor of Technology)",SC,Female,5935,5983
Mains,Malaviya National Institute of Technology Jaipur,"Civil Engineering (4 Years, Bachelor of Technology)",ST,Male,735,1369
Mains,Malaviya National Institute of Technology Jaipur,"Civil Engineering (4 Years, Bachelor of Technology)",ST,Female,2324,2324
Mains,Malaviya National Institute of Technology Jaipur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",GEN,Male,2650,4631
